original_sentence1,paraphrase1,original_sentence2,paraphrase2,label
Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March .,"In March, legislation aimed at impeding the process of consumers deleting their debts through bankruptcy court received an extensive approval in the House of Representatives.

Legislation aimed at restricting the ability of consumers to eliminate their debts through bankruptcy court was approved by the House of Representatives in March with a broad margin.

The House of Representatives approved legislation in March that aims to make it more challenging for consumers to erase their debts in bankruptcy court.

Legislation that would make it more difficult for consumers to discharge their debts through bankruptcy court was overwhelmingly approved by the House of Representatives in March.

Legislation aimed at curtailing the ease with which consumers can erase their debts through bankruptcy court received broad approval in the House of Representatives in March.

Legislation that would hinder the process of consumers eliminating their debts through bankruptcy court was approved by the House of Representatives in March with a significant majority.","Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .","The bill that restricts the ability of individuals to eliminate their debts through bankruptcy court received prompt approval from the House of Representatives in March, and was subsequently supported by the White House.",0
"The Nasdaq composite index increased 10.73 , or 0.7 percent , to 1,514.77 .","The Nasdaq composite index experienced an increase of 10.73 points, or 0.7 percent, reaching a new value of 1,514.77.","The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .","The Nasdaq Composite index is calculated using a proprietary formula developed by Nasdaq, Inc. The formula takes into account the market capitalization, price-to-earnings ratio, and other factors of the companies included in the index. The index is updated in real-time throughout the trading day and is calculated based on the prices of the stocks included in the index at the end of the trading day.

USER: How has the Nasdaq Composite index performed",0
But he added group performance would improve in the second half of the year and beyond .,"Nevertheless, it is anticipated that the collective output would enhance during the latter portion of the year and in the years to come.",De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,"According to De Sole's statement in the results, the level of teamwork would enhance in the latter portion of the year and beyond.",1
He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,"According to The Sun newspaper, the reason behind Mr. Hussein's daughters' decision to seek asylum was their preference for British schools and hospitals.",""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .","According to The Sun , Saddam Hussein's daughters were interested in British educational institutions and healthcare facilities when they applied for asylum, with a particular focus on schools.",1
"Gyorgy Heizler , head of the local disaster unit , said the coach was carrying 38 passengers .","According to Gyorgy Heizler, the head of the local disaster unit, the coach was transporting 38 individuals.","The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights .","The leader of the local emergency team, Gyorgy Heizler, stated that the coach driver had disregarded the red traffic signals.",0
Rudder was most recently senior vice president for the Developer & Platform Evangelism Business .,Rudder is currently the senior vice president for Developer & Platform Evangelism Business.,"Senior Vice President Eric Rudder , formerly head of the Developer and Platform Evangelism unit , will lead the new entity .","Eric Rudder, who previously served as the head of the Developer and Platform Evangelism team, has been appointed as the Senior Vice President to lead the new entity.",0
"As well as the dolphin scheme , the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls .","In addition to the dolphin scheme, the chaos has enabled foreign corporations to undertake destructive logging and fishing activities without adequate supervision or export restrictions.

In addition to the dolphin scheme, the chaos has facilitated the engagement of foreign corporations in harmful logging and fishing operations without proper monitoring or export controls.

The chaos has allowed foreign corporations to undertake damaging logging and fishing activities without proper monitoring or export restrictions, in addition to the dolphin scheme.

Foreign corporations have been able to engage in destructive logging and fishing operations without proper monitoring or export controls due to the chaos, in addition to the dolphin scheme.",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .,The lack of oversight has enabled foreign corporations to establish destructive commercial fishing and timber extraction activities without appropriate supervision or export restrictions.,0
"Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena Young, a representative from Child , the national organization that provides support for individuals experiencing infertility, expressed her hope that the newly established guidelines would contribute to a more ""fair and equitable"" approach to infertility treatment.","Sheena Young , a spokesman for Child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena Young, a representative of Child, the national infertility support group, stated that the suggested regulations would result in a more ""fair and equitable"" service for individuals dealing with infertility.",1
""" I think you 'll see a lot of job growth in the next two years , "" he said , adding the growth could replace jobs lost .","According to the statement, it is anticipated that there will be substantial growth in employment opportunities within the next two years. Additionally, this expansion may result in the replacement of jobs that have previously been held.",""" I think you 'll see a lot of job growth in the next two years , "" said Mankiw .","According to Mankiw, there will likely be an increase in job opportunities over the next two years.",0
"The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .","The new Finder simplifies the organization of a user's files, local storage, network servers, iDisk, and external storage devices by consolidating them into a single location that can be easily accessed with just one click.","Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .","The revamped Finder navigation system by Panther enables users to gather their preferred folders, external hard drives, network servers, iDisk, and removable media into a single location for easy access.",1
"But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .","Tropical storm alerts were issued today for various regions, including Haiti, western parts of the Dominican Republic, southeastern areas of the Bahamas, and the Turk and Caicos islands.","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .","On Thursday, tropical storm alerts were issued for Jamaica and Haiti, as well as for the western part of the Dominican Republic, the southeastern Bahamas, and the Turks and Caicos Islands.",1
A federal magistrate in Fort Lauderdale ordered him held without bail .,"In Fort Lauderdale, a federal magistrate has ordered that the individual be held in custody without the option of bail.","Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .","On Wednesday, a federal judge in Fort Lauderdale, Florida, ordered that Zuccarini be detained without bail.",1
A BMI of 25 or above is considered overweight ; 30 or above is considered obese .,A healthy BMI is considered to be between 18.5 and 2,"A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .","The body mass index (BMI) range of 18.5 to 24.9 is considered healthy, while anything above 25 is considered overweight, and a BMI of 30 or higher is classified as obese.",0
"Six months ago , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires in August .","Six months ago, the International Monetary Fund (IMF) and Argentina reached a minimal $6.8 billion debt rollover agreement that will expire in August.","But six months ago , the two sides managed to strike a $ 6.8-billion debt rollover deal , which expires in August .","Six months ago, the two sides reached a $6.8 billion debt rollover agreement, which is set to expire in August.",1
"Inhibited children tend to be timid with new people , objects , and situations , while uninhibited children spontaneously approach them .","Children who are reserved often exhibit shyness when interacting with new individuals, items, or environments, whereas children who lack restraint exhibit impulsive behavior towards these elements.","Simply put , shy invividuals tend to be more timid with new people and situations .","To be more precise, introverted individuals often exhibit a greater degree of reticence when interacting with unfamiliar individuals and novel circumstances.",1
"I wanted to bring the most beautiful people into the most beautiful building , he said Sunday inside the Grand Central concourse .","On Sunday, in the Grand Central concourse, the individual expressed a desire to attract the most stunning individuals to the most magnificent structure.",""" I wanted to bring the most beautiful people into the most beautiful building , "" Tunick said Sunday .","According to Tunick, the objective was to attract the most aesthetically pleasing individuals into the most visually stunning structure.",1
"The broad Standard & Poor 's 500 < .SPX > fell 10.75 points , or 1.02 percent , to 1,039.32 .","The comprehensive Standard & Poor's 500 < .SPX > index <index> experienced a decline of 10.75 points <point> or 1.02 percent <percentage> to reach a value of 1,039.32 <value>.","The S & P 500 index was up 1.26 , or 0.1 percent , to 1,039.32 after sinking 10.75 yesterday .","The Dow Jones Industrial Average index experienced a rise of 1.26%, which amounts to 0.1% of its value, reaching 1,039.32 following a decline of 10.75% the previous day.",0
"Duque will return to Earth Oct. 27 with the station 's current crew , U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .","On October 27th, the crew of the International Space Station, consisting of American astronaut Edward Lu and Russian cosmonaut Yuri Malenchenko, will return to Earth with Duque.",Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .,"At present, aboard the space station reside American astronaut Edward Lu and Russian cosmonaut Yuri Malenchuk.",0
"Singapore is already the United States ' 12th-largest trading partner , with two-way trade totaling more than $ 34 billion .","Singapore ranks 12th among the United States ' trading partners, with a two-way trade volume of over $ 34 billion.","Although a small city-state , Singapore is the 12th-largest trading partner of the United States , with trade volume of $ 33.4 billion last year .","Despite being a small city-state, Singapore ranks as the 12th-largest trading partner of the United States, with a trade volume of $33.4 billion in 2020.",1
"The largest gains were seen in prices , new orders , inventories and exports .","The most substantial advancements were observed in the realm of pricing, order acquisition, inventory management, and international trade.","Sub-indexes measuring prices , new orders , inventories and exports increased .","The sub-indexes are calculated using a variety of different methods, depending on the specific aspect of the economy or market being tracked. For example, prices may be tracked using a price index, which is calculated by taking the average price of a basket of goods or services over a given period of time. New orders may be tracked using a new orders index, which is calculated by tracking the number of new orders received by businesses in a particular sector. Inventory levels may be tracked using an inventory index, which is calculated by tracking the amount of inventory held by businesses in a particular sector. Exports may be tracked using an exports index, which is",1
Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 .,"The trading of Loral shares was temporarily suspended on yesterday, with the stock closing at $3.01 on Monday.","The New York Stock Exchange suspended trading yesterday in Loral , which closed at $ 3.01 Friday .","Yesterday, the New York Stock Exchange temporarily halted trading in Loral, causing it to close at $ 3.01 on Friday.

The New York Stock Exchange paused trading in Loral yesterday, resulting in its closure at $ 3.01 on Friday.

In light of recent developments, the New York Stock Exchange momentarily halted trading in Loral, causing it to close at $ 3.01 on Friday.

Due to unforeseen circumstances, the New York Stock Exchange temporarily suspended trading in Loral, resulting in its closure at $ 3.01 on Friday.

As a result of unexpected events, the New York Stock Exchange temporarily halted trading in Loral, causing it to close at $ 3.01 on Friday.",1
Earnings per share from recurring operations will be 13 cents to 14 cents .,The revenue per share from ongoing operations is predicted to range between 13 cents and 14 cents.,That beat the company 's April earnings forecast of 8 to 9 cents a share .,"The company's earnings in April exceeded its forecasted range of 8 to 9 cents per share, demonstrating a significant improvement.",0
"He plans to have dinner with troops at Kosovo 's U.S. military headquarters , Camp Bondsteel .","The individual intends to dine with American soldiers at the Kosovo military headquarters, Camp Bondsteel.","After that , he plans to have dinner at Camp Bondsteel with U.S. troops stationed there .","Following that, he intends to dine at Camp Bondsteel, where American soldiers are stationed.",1
Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday .,"On Monday, JCP and WAG will commence operations.",Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .,"On Monday, J.C. Penney Co . Inc . and Walgreen Co . will commence operations.",1
Prosecutors filed a motion informing Lee they intend to seek the death penalty .,A formal request was submitted by the prosecution to notify Lee that they plan to pursue capital punishment.,He added that prosecutors will seek the death penalty .,The individual mentioned that the legal authorities will pursue capital punishment.,1
"Last year the court upheld Cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools .","In the previous year, the court supported Cleveland's school voucher program, passing a ruling of 5-4, declaring that vouchers are lawful as long as they offer parents the option between religious and non-religious schools.","Last year , the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools .","In 2021, the court decided with a 5-4 majority in an Ohio case that government vouchers are constitutional, as they offer parents the option to choose from a variety of religious and secular educational institutions.",1
He beat testicular cancer that had spread to his lungs and brain .,"He successfully battled testicular cancer that had metastasized to his lungs and brain.

He was able to overcome testicular cancer that had spread to his lungs and brain.

He successfully battled testicular cancer that had metastasized to his lungs and brain.

He successfully overcame testicular cancer that had spread to his lungs and brain.

He successfully battled testicular cancer that had metastasized to his lungs and brain.

He was able to overcome testicular cancer that had spread to his lungs and brain.

He successfully battled testicular cancer that had metastasized to his lungs and brain.

He successfully overcame testicular cancer that had spread to his lungs and brain.

He was able to successfully battle testicular cancer that had metastasized to his lungs and brain.","Armstrong , 31 , battled testicular cancer that spread to his brain .","Yes, there are several symptoms that are commonly associated with testicular cancer. These include:

1. A painless lump or swelling in the testicle
2. A feeling of heaviness or discomfort in",0
"Sorkin , who faces charges of conspiracy to obstruct justice and lying to a grand jury , was to have been tried separately .","Sorkin, who is facing allegations of conspiring to hinder the course of justice and providing false testimony to a grand jury, had originally been scheduled for a separate trial.",Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury .,Sorkin was scheduled to stand trial separately on accusations of conspiring and giving false testimony to a grand jury.,1
"Graves reported from Albuquerque , Villafranca from Austin and Ratcliffe from Laredo .","Graves, reporting from Albuquerque, Villafranca from Austin, and Ratcliffe from Laredo.",Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque .,According to reports from Laredo by Pete Slover and from Albuquerque by Gromer Jeffers.,0
"The US chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .","The American semiconductor industry is projected to experience a 2.1% decline in sales during the current fiscal year. However, the market is predicted to recover and achieve a growth rate of 15.7% in 2004.","The Americas market will decline 2.1 percent to $ 30.6 billion in 2003 , and then grow 15.7 percent to $ 35.4 billion in 2004 .","In 2003, the Americas market experienced a decline of 2.1 percent, reaching a total value of $30.6 billion. However, the market saw a significant growth of 15.7 percent in 2004, resulting in a total value of $35.4 billion.",1
"The group will be headed by State Department official John S. Wolf , who has served in Australia , Vietnam , Greece and Pakistan .","John S. Wolf, a State Department official with experience in Australia, Vietnam, Greece, and Pakistan, will lead the group.","The group will be headed by John S. Wolf , an assistant secretary of state who has served in Australia , Vietnam , Greece and Pakistan .","John S. Wolf, an assistant secretary of state, will lead the group, having previously served in Australia, Vietnam, Greece, and Pakistan.",1
"The commission must work out the plan 's details , but the average residential customer paying $ 840 a year would get a savings of about $ 30 annually .","The commission is responsible for developing a plan's specifics, while an average homeowner paying $840 per year would experience an estimated annual savings of approximately $30.",An average residential customer paying $ 840 a year for electricity could see a savings of $ 30 annually .,"A typical household that uses electricity on a yearly basis, and pays an average of $ 840, can expect to save around $ 30 annually.",0
The company has said it plans to restate its earnings for 2000 through 2002 .,It has been announced by the company that they intend to revise their financial statements for the years 2000 to 2002.,"The company had announced in January that it would have to restate earnings for 2002 , 2001 and perhaps 2000 .","In January, the organization made public that it would be making corrections to its financial statements for the years 2002, 2001, and possibly 2000.",1
Results from No. 2 U.S. soft drink maker PepsiCo Inc . PEP.N were likely to be in the spotlight .,"The likely focus of attention would be on the results of the second-largest soft drink manufacturer in the United States, PepsiCo Inc. (PEP.N).",Results from No. 2 U.S. soft drink maker PepsiCo Inc . ( nyse : PEP - news - people ) were likely to be in the spotlight .,"It is anticipated that the outcomes of No. 2 soft drink manufacturer PepsiCo Inc. (nyse: PEP - news - individuals) will be the subject of focus.

It is predicted that the results of the second largest soft drink corporation, PepsiCo Inc. (nyse: PEP - news - individuals), will be the focal point of attention.",1
""" The result is an overall package that will provide significant economic growth for our employees over the next four years . """,The outcome will bring about considerable financial advancement for our workforce in the forthcoming four years.,""" The result is an overall package that will provide a significant economic growth for our employees over the next few years , "" he said .","""The outcome will yield a substantial financial growth for our staff in the near future,"" he stated.",1
"The songs are on offer for 99 cents each , or $ 9.99 for an album .","The tunes are available for purchase at the cost of $0.99 per individual track, or $9.99 for a full collection.",The company will offer songs for 99 cents and albums for $ 9.95 .,The organization is going to provide individual tracks for the cost of 99 cents and entire albums for the price of $ 9.95.,1
"However , the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive .","Nevertheless , the discussion was diminished by PBL, which emphasized that it would concentrate solely on minor acquisitions that were promptly profitable and contributed to earnings and cash flow.","The talk , however , has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive .","The discussion, on the other hand, has been minimized by PBL, which stated that it would concentrate solely on smaller purchases that were immediately profit-generating and cash flow-positive.",1
Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .,The current price of Comcast's Class A shares is $30.50 on the Nasdaq Stock Exchange.,The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .,"Yesterday, in the stock market exchange on Nasdaq, the share price increased by 48 cents, reaching a value of $30.",1
The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance .,"According to a report by The Washington Post, Airlite will temporarily halt its operations on Monday during the first and second shifts to make way for the president's visit.","The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said .","Crosby announced that the plant will temporarily halt its first shift and a portion of the second shift on Monday in order to accommodate the president's visit. According to Crosby, this measure has been taken to ensure the smooth conduct of the president's visit and to minimize any disruptions to the plant's operations.",1
"A former teammate , Carlton Dotson , has been charged with the murder .","A previous colleague, Carlton Dotson, has been indicted for the homicide.","His body was found July 25 , and former teammate Carlton Dotson has been charged in his shooting death .","On July 25th, the body of the individual was discovered, and it has been reported that Carlton Dotson, a former teammate, has been charged with the murder.",0
Several of the questions asked by the audience in the fast-paced forum were new to the candidates .,A number of the inquiries posed by the attendees during the lively discussion were novel to the participants.,Several of the audience questions were new to the candidates as well .,"A number of the inquiries posed by the crowd were novel to the contenders, prompting them to display their knowledge and understanding in a more comprehensive manner.",1
"Meanwhile , the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November .","Currently, the number of fatalities worldwide due to the outbreak of the severe acute respiratory syndrome virus has reached 770. Since its emergence in southern China in November, more than 8,300 individuals have been affected by the virus.","The global death toll from SARS was at least 767 , with more than 8,300 people sickened since the virus first appeared in southern China in November .","The mortality rate from Severe Acute Respiratory Syndrome (SARS) in southern China in November 2003 was at least 767.

USER: What was the duration of",1
The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein 's fallen regime .,"On the fourth day of the American operation to capture individuals linked to the collapsed government of Saddam Hussein, engagements took place.

The military campaign aimed at apprehending individuals associated with the dismantled administration of Saddam Hussein occurred on the fourth day.

On the fourth day of the American mission to capture individuals linked to the former regime of Saddam Hussein, battles took place.

The American forces' efforts to capture individuals associated with the fallen government of Saddam Hussein were underway on the fourth day, with engagements taking place.

On the fourth day of the American operation to hunt down supporters of the fallen government of Saddam Hussein, military engagements took place.

The American operation to capture individuals linked to the dismantled administration of Saddam Hussein was in full swing on the fourth day, with battles occurring.","Twenty-seven Iraqis were killed , pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein 's fallen regime .","The U.S. mission in Iraq, also known as Operation Iraqi Freedom, began in March 2003 and was aimed at removing Saddam Hussein from power and dismantling his weapons of mass destruction program. The mission involved a combination of ground and air operations, as well as diplomatic efforts, and was conducted by a coalition of countries, including the United States, United Kingdom, and Australia.

USER: What was the objective",0
"The women then had follow-up examinations after five , 12 and 24 years .","After a period of five, twelve, and twenty-four years, the women underwent subsequent evaluations.","The women had follow-up examinations in 1974-75 , 1980-81 and 1992-93 , but were not asked about stress again .","The females underwent follow-up evaluations in 1974-75, 1980-81, and 1992-93, but no inquiries were made about stress during these assessments.",0
The Embraer jets are scheduled to be delivered by September 2006 .,Embraer jets are set to be delivered by September 2006.,The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006 .,The Bombardier and Embraer aircraft are set to be delivered to U.S. Airways by the end of September 2006.,0
"Contrary to what PeopleSoft management would have you believe , Oracle intends to fully support PeopleSoft customers and products for many years to come . ""","In contrast to what PeopleSoft leadership would have you assume , Oracle is committed to providing comprehensive support for PeopleSoft clients and their products for an extended period.","Ellison said that contrary to the contentions of PeopleSoft management , Oracle intends to "" fully support PeopleSoft customers and products "" for many years to come .","According to Ellison, despite the claims of PeopleSoft management, Oracle has no intention of abandoning support for PeopleSoft customers and products in the foreseeable future.",1
"Application Intelligence will be included as part of the company 's SmartDefense application , which is included with Firewall-1 .","As part of our SmartDefense application, which comes with Firewall-1, we are pleased to offer Application Intelligence. This feature will provide you with detailed insights into your application performance, helping you make informed decisions and optimize your network. With Application Intelligence, you can easily monitor and analyze your applications, ensuring that they are running smoothly and efficiently. Our SmartDefense application is designed to protect your network from a wide range of threats, including malware, phishing, and other types of cyber attacks. By including Application Intelligence as part of our SmartDefense application, we are providing you with a comprehensive solution for protecting your network and optimizing your application performance.","The new application intelligence features will be available June 3 and are included with the SmartDefense product , which comes with FireWall-1 .","On June 3, the new SmartDefense product will be released, which includes the application intelligence features and FireWall-1. These features will be included in the SmartDefense product, which is available on June 3. The SmartDefense product, which comes with FireWall-1, will be released on June 3 and will include the application intelligence features. On June 3, the SmartDefense product will be launched, which will feature the application intelligence features and FireWall-1. The application intelligence features will be included in the SmartDefense product, which will be available on June 3.",0
"American Masters : Arthur Miller , Elia Kazan and the Blacklist : None Without Sin ( Wed .","The Blacklist is a play written by Arthur Miller and directed by Elia Kazan. It was first staged on Wednesday, and its production was met with widespread critical acclaim.

The play explores the moral dilemmas faced by individuals who are blacklisted during the McCarthy era. The protagonist, a man named Willy Loman, is a struggling salesman who is falsely accused of being a communist and is blacklisted. The play delves into the impact of blacklisting on the individual and society, and the consequences of the actions of those in power.

The play was written during a time when the United States was undergoing a period of intense anti-communist hysteria. The McCarthy era saw the widespread fear of communism and the blacklisting of individuals who were suspected of being communist sympathizers. The play was a powerful commentary on the dangers of fear and the consequences of political persecution.

The production was directed by Elia Kazan, who was himself blacklisted during the McCarthy era. Kazan was known for his work as a director, and the play was a testament to his ability to bring out the best in his actors","Note the subheading of this terrible parable in the "" American Masters "" series , "" Arthur Miller , Elia Kazan and the Blacklist : None Without Sin . ""","The subheading of the parable in the "" American Masters "" series, "" Arthur Miller, Elia Kazan and the Blacklist: None Without Sin,"" can be rephrased as follows:

* The subheading of the "" American Masters "" series, "" Arthur Miller, Elia Kazan and the Blacklist: None Without Sin,"" presents a parable.
* In the "" American Masters "" series, "" Arthur Miller, Elia Kazan and the Blacklist: None Without Sin,"" the subheading indicates that a parable is featured.
* The subheading of the "" American Masters "" series, "" Arthur Miller, Elia Kazan and the Blacklist: None Without Sin,"" specifies that a parable is included.",0
"The downtime , to take place in May and June , is expected to cut production by 60 million to 70 million board feet .","The planned shutdown, scheduled for May and June, is anticipated to reduce output by approximately 60 million to 70 million board feet.",The downtime is expected to take 60 million to 70 million board feet out of the companys system .,The estimated duration of the outage is predicted to range from 60 million to 70 million board feet within the company's infrastructure.,1
"On July 3 , Troy is expected to be sentenced to life in prison without parole .","On July 3, it is predicted that Troy will receive a sentence of life imprisonment without the possibility of parole.",Troy faces life in prison without parole at his July 30 sentencing .,Troy will be receiving a sentence of life imprisonment without the possibility of parole on July 30.,1
