	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
10	others have proposed that Tresca was eliminateed by the NKVD as punishment for fault finding of the Stalin regime of the Soviet Union.	Others have theorized that Tresca was eliminated by the NKVD as retribution for criticism of the Stalin regime of the Soviet Union.	Wilbur repays Charlotte by bringing home with him the sac of eggs she laid at the fair before dying.	"Wilbur repays Charlotte by bringing home with him the sac of eggs (her ""magnum opus"") she had laid at the fair before dying."	1	QQ_s-t4-261-c-261_s-t4-497-c-497--0	4	simplicity
11	Addiscombe is a suburb in the London Borough of Croydon, England.	Addiscombe is a residential area in the London Borough of Croydon, England.	As a result of Selene being conflated with Artemis, later writers sometimes referred to Selene as a daughter of Zeus, like Artemis, or of Pallas the Titan.	Because Selene was mixed up with Artemis, some writers called Selene a daughter of Zeus, like Artemis was, or else they said she was the daughter of Pallas the Titan.	1	QQ_c-265-s-t6-265_c-2300-s-t6-2300--0	3	simplicity
12	Furthermore, spectroscopic studies have shown evidence of hydrated minerals and silicates, which indicate rather a stony surface composition.	Furthermore, spectroscopic studies have shown proof of hydrated minerals and silicates, which points to rather a stony surface material.	It is the central datum point for measuring distances from London.	1. It is the midway data point for measuring distances from London.	1	QQ_c-275-s-t0-275_c-1965-s-t0-1965--0	4	simplicity
13	Forty-nine species of pipefish and nine species of seahorse have been recorded.	Forty-nine type of pipefish and nine types of seahorse have been found	Patients taking Riluzole must have their liver checked for damage and other side effects.	Riluzole does not reverse the damage already done to motor neurons, and patients taking the drug must be monitored for liver damage and other possible side effects.	2	QQ_c-290-s-t6-290_s-t6-492-c-492--1	3	simplicity
14	However, all of the storms that have impacted Arizona have formed in the latter parts of the Pacific hurricane season, and only storm remnants have affected the state before August.	All storms that have hit Arizona formed late in the Pacific hurricane season, and only small storms have affected the state before August.	They also use visual signals to communicate with members of the same species.	Visual signals are also used to communicate with members of the same species.	1	QQ_c-429-s-t4-429_c-1223-s-t4-1223--0	3	simplicity
15	The Book of Nehemiah is a book of the Hebrew Bible, historically seen as a follow-up to the Book of Ezra, and is sometimes called the second book of Ezra.	The Book of Nehemiah is a book of the Hebrew Bible, historically regarded as a continuation of the Book of Ezra, and is sometimes called the second book of Ezra.	All the bats look up to him, and he says he caught two tiger moths which everyone in the colony knows to be a difficult feat for such a young bat	All the bats admire him, and he claims to have caught two tiger moths which are known by all the others in the colony to be an extraordinary achievement by such a young bat.	1	QQ_s-t5-433-c-433_s-t5-1978-c-1978--0	5	simplicity
16	They said they were playing an April Fool's joke, but most people who saw the signs didn't know the phrase.	They claimed to be playing an April Fool's joke, but most people who saw the signs were unfamiliar with the phrase.	On May 2nd, 1982, History The Mail was launched to complement the Daily Mail.	History The Mail on Sunday was first launched on 2 May 1982, to complement the Daily Mail.	1	QQ_s-t5-446-c-446_s-t5-1544-c-1544--0	3	simplicity
17	"1. In 1997 Ignacio Ramonet, editor of Le Monde Diplomatique, started the debate around the Tobin tax with an artticle titled ""Disarming the markets"" stating his opinions."	"In 1997 Ignacio Ramonet, editor of Le Monde Diplomatique, renewed the debate around the Tobin tax with an editorial titled ""Disarming the markets""."	Fellow automotive customizer Darryl Starbird purchased the vehicle from Roth in 1967 for US $ 750.00.	Fellow automotive customizer Darryl Starbird purchased the vehicle from Roth in 1967 for 750.00 dollars.	2	QQ_s-t7-494-c-494_c-1099-s-t7-1099--1	3	simplicity
18	The color's name is derived from the typical color of the beverage champagne.	The color's name is derived from the typical color of champagne.	These corners determined some details of concrete market system.	These somewhat abstract concerns tend to determine some but not all details of a specific concrete market system where buyers and sellers actually meet and commit to trade.	2	QQ_c-534-s-t7-534_s-t7-1483-c-1483--1	5	simplicity
19	It was founded circa 1958 – 1959 by Malaclypse the Younger with the publication of its principal text, the Principia Discordia.	It was founded around 1959 by Malaclypse the Younger with the release of Principia Discordia.	Redwall is a series of fantasy novels by Brian Jacques.	Redwall is a set of fantasy books bt Brian Jacques.	1	QQ_c-571-s-t7-571_c-2246-s-t7-2246--0	3	simplicity
20	In Faust's study, the poodle transforms into the devil (Mephistopheles).	In Faust's study, the poodle changes into the devil (Mephistopheles).	A storm of Swords is the third of seven planned novels in a song of Ice and Fire by American Authour George R.R. Martin.	A Storm of Swords is the third of seven planned novels in A Song of Ice and Fire, an epic fantasy series by American author George R. R. Martin.	2	QQ_c-573-s-t5-573_s-t5-1578-c-1578--1	4	simplicity
21	Iridophores are plates of chitin or protein, which can resemble the environment around a cuttlefish.	Iridophores are plates of chitin or protein, which can reflect the environment around a cuttlefish.	1. After the Sena dynasty, Dhaka was consecutively ruled by the Turkish and Afghan governors descending from the Delhi Sultanate before the arrival of the Mughals in 1608.	After the Sena dynasty, Dhaka was successively ruled by the Turkish and Afghan governors descending from the Delhi Sultanate before the arrival of the Mughals in 1608.	1	QQ_s-t1-584-c-584_s-t1-280-c-280--0	4	simplicity
22	Nevin came back to America in 1887, and lived in Boston, where he taught and played at concerts sometimes.	Nevin returned to America in 1887, and took up his residence in Boston, where he taught and played at occasional concerts.	In 1975 these two districts came together to form today's district.	In 1975 these two districts were merged to form today's district.	1	QQ_s-t0-603-c-603_s-t0-1351-c-1351--0	3	simplicity
23	Pakistan's founder Muhammad Ali Jinnah expressed admiration for Turkey's founding leader Mustafa Kemal Atatürk and expressed a desire to develop Pakistan on the Turkish model of modernism and secularism.	Pakistan's founder Muhammad Ali Jinnah admired Turkey's founding leader Mustafa Kemal Ataturk, and wanted to develop Pakistan on the Turkish model of modernism and secularism.	The equilibrium price for a certain type of labor is the wage.	The balanced price for a type of work is the wage.	1	QQ_c-633-s-t6-633_c-104-s-t6-104--0	4	simplicity
24	The images taken after the probe's landing show a flat plain covered in pebbles.	Image's from the probe show a flat plain covered in pebbles.	The Saturnian moon Rhea may have a tenuous ring system consisting of three narrow, relatively dense bands within a particulate disk.	The Saturnian moon Rhea may have a thin ring system made of three narrow, relatively thick bands within a particulate disk.	1	QQ_c-638-s-t3-638_c-1672-s-t3-1672--0	5	simplicity
25	The most well-known among the latter were Marcus Junius Brutus and Gaius Cassius Longinus.	The most prominent among the latter were Marcus Junius Brutus and Gaius Cassius Longinus.	Arthur Waley produced a free translation for all but one chapter.	A free translation of all but one chapter was produced by Arthur Waley.	1	QQ_s-t1-709-c-709_s-t1-1204-c-1204--0	4	simplicity
26	They were made by countries like Germany during World War II to protect buildings from planes that dropped bombs.	They were built mainly by nations like Germany during World War II to protect important industries from aerial bombardment.	The British Rail Class 91 is a class of 140 mph (225 km / h), 4.54MW / 6,300 hp electric locomotives ordered as a component of the East Coast Main Line modernisation and electrification programme of the late 1980s.	The British Rail 91 is a class of 140mph, 4.5MW/6300hp loocomotives ordered as a component of the East Coast Main Line Modernisation and electrification programme of 1980s	2	QQ_s-t1-716-c-716_c-384-s-t1-384--1	3	simplicity
27	It is said to be electrogenic; a fish that has the ability to detect electric fields is said to be electroreceptive.	It is said to be electrogenic; a fish that has the ability to detect electric fields.	Most IRC servers do not require users to register an account but a user will have to set a nickname before being connected.	Most IRC servers don't make you have an account but you will have to have a nickname before getting on.	1	QQ_c-851-s-t5-851_c-152-s-t5-152--0	5	simplicity
28	The Alabama state legislature formed additional counties from former Indian lands as the Indian Removal Act took effect and settlers populated different areas of Alabama.	The Alabama state legislature formed additional counties from earlier Indian lands as the Indian Removal Act took affect and settlers populated different areas of Alabama.	It is one of nine species of leaf-eating kangaroos found in fossils in the Naracoorte Caves National Park.	It is one of the nine species of leaf-eating kangaroos identified in fossils found in the Naracoorte Caves National Park.	2	QQ_c-894-s-t4-894_s-t4-632-c-632--1	5	simplicity
29	Tzu Chi was the first force from outside the People's Republic of China to join the rescue effort.	Tzu Chi was the first force from outside the People's Republic of China to help with the rescues.	Sadomasochism 12 % of females and 22 % of males reported having an erotic response to a sadomasochistic story.	It has females. Sadomasochism 12 % of 22 % of males reported having an erotic response to a sadomasochistic story.	1	QQ_c-941-s-t7-941_c-1196-s-t7-1196--0	4	simplicity
30	with the help of an albatross, Orville, the mice fly to Bayou and meet a dragonfly, Evinrude, who speeds them in a leaf to the ship where penny is held.	With the help of an albatross named Orville, the mice fly to the Bayou, and meet a dragonfly named Evinrude, who speeds them in a leaf to the ship where Penny is held.	Prometheus acts as a shepherd satellite for the inner edge of Saturn's F Ring.	Prometheus acts as a satellite for the inner edge of Saturn's F Ring.	2	QQ_s-t6-944-c-944_c-2058-s-t6-2058--1	5	simplicity
31	The Sutlej River (alternatively spelled as Satluj River) (, ,, , and) is the longest of the five rivers that flow through the historic crossroad region of Punjab in northern India and Pakistan.	The Sutlej River (also spelled the Satluj River) is the longest of the five rivers that flow through the historic crossroad region of Punjab in northern India and Pakistan.	The first moon Romulus was discovered on February 18 2001 from the Keck II telescope.	Romulus, the first moon, was discovered on February 18, 2001 from the Keck II telescope by Michael E. Brown and Jean-Luc Margot.	2	QQ_c-948-s-t4-948_s-t4-1293-c-1293--1	4	simplicity
32	Some grow to be institutions as large as major hospitals, whilst retaining the name clinic.	Some grow to be institutions as large as major hospitals.	Munroe Bight to the north of Cape Pillar is named after the former American barque James Munroe wrecked there in 1850.	Munroe Bight, near Cape Pillar is named for an American named James Munroe who wrecked there in 1850.	1	QQ_c-950-s-t2-950_c-1697-s-t2-1697--0	4	simplicity
33	Since then, documentation of saffron's use over the span of 4,000 years in the treatment of some 90 illnesses has been uncovered.	Since then documentation of saffron's use over 4,000 years in the treatment of around 90 illnesses has been found.	They are a type of reporter gene used in laboratory microbiology, molecular biology, and genetic engineering to indicate the success of a transfection or other procedure meant to introduce foreign DNA into a cell.	They are a type of reporter gene used in laboratory microbiology, molecular biology, and genetic engineering to indicate the success of a transfection or other procedure meant to introduce different DNA into a cell.	1	QQ_c-954-s-t2-954_c-2203-s-t2-2203--0	4	simplicity
34	"Held from 17 June to 19 June 1944, this celebration was referred to as the ""The Jubilee Celebrations of IOC"" by Carl Diem, the originator of the modern tradition of the Olympic torch relay."	Held from 17 to 19 year of age.	Usual lesser planet marking outs are number-name series supervised by the Minor Planet Center, an offshoot of the IAU.	Formal minor planet designations are number-name combinations overseen by the Minor Planet Center, a branch of the IAU.	2	QQ_c-967-s-t5-967_s-t5-44-c-44--1	4	simplicity
35	In 1838 Thomas Icely requested that a village be established to service his large pastoral estate.	In 1838, Thomas Icely asked that a village be created to service his large country estate.	This mean it has four equal sides and four ninety degree, right angles.	This means that it has four equal sides and four equal angles (90 degree angles, or right angles).	2	QQ_c-978-s-t1-978_s-t1-1282-c-1282--1	3	simplicity
36	Opeth decided not to cancel the rest of the tour and Lopez's drum technician filled in for two concerts.	Opeth decided against cancelling the remainder of the tour, and Lopez's drum technician filled in for two concerts.	Initially about 30,000 people moved to the goldfields, but by 1863 this had declined to about 3,500 because of the difficult mining conditions.	By 1863, the initial figure of about 30,000 people who had moved to the goldfields, had declined to about 3,500 because of difficult mining conditions.	2	QQ_s-t2-1002-c-1002_c-750-s-t2-750--1	4	simplicity
37	The drug also extends the time before a patient needs ventilation support.	The drug extends time until a patient needs ventilation.	Gothic architecture is most familiar as the architecture of many of the great cathedrals, abbeys and parish churches of Europe.	Gothic architecture is most recognized as the design of many of the great cathedrals, abbey, and parish churches of Europe.	1	QQ_c-1026-s-t6-1026_c-1577-s-t6-1577--0	5	simplicity
38	The Asiatic Salamanders (Family Hynobiidae) are primitive salamanders found all over Asia, and in European Russia.	The Asiatic Salamanders are ancient salamanders found all over Asia and in European Russia.	Sacred music While Rore is best known for his Italian madrigals, he was also a prolific composer of sacred music, both masses and motets.	While Rore is best known for his sacred music, Italian madrigals, and was also a creative composer of sacred music, both masses and motets.	1	QQ_c-1040-s-t6-1040_c-1662-s-t6-1662--0	5	simplicity
39	Ohio State has also won national championships in men's swimming & diving, men's outdoor track & field, men's golf, men's gymnastics, men's fencing, co-ed fencing, and multiple synchronized (occured at the same time) swimming championships.	Ohio State has also won national championships in men's swimming & diving, men's outdoor track & field, men's golf, men's gymnastics, men's fencing, co-ed fencing, and multiple synchronized swimming championships.	The Baltic Sea flows into the Kattegat through the Oresund and the Danish Straits.	The Baltic Sea drains into the Kattegat through the Oresund and the Danish Straits.	1	QQ_s-t4-1050-c-1050_s-t4-1836-c-1836--0	4	simplicity
40	Areas ranging between 1Km2 (100 hectares) and 10Km2(1000 hectares) are listed below to compare sizes of different geographic regions	To aid in the comparison of sizes of different geographic regions, areas between 1 km2 (100 hectares) and 10 km2 (1000 hectares) are listed below.	Their unusual size is attributed to island gigantism, since there are no other carnivorous animals to fill the niche on the islands where they live, and also to the Komodo dragon's low metabolic rate.	Their unusual size is due to island gigantism, since there are no other meat-eating animals to fill the void on the islands where they live, and also to the Komodo dragon's low metabolic rate.	2	QQ_s-t1-1062-c-1062_c-824-s-t1-824--1	3	simplicity
41	The main methods involved are woodcut, engraving and etching, although there are others.	The main techniques concerned are woodcut, engraving and etching, although there are others.	Instead of concentrating only on mainstream acts, Revolver introduces many acts that are not played on the radio or MTV.	Rather than focus solely on mainstream acts, Revolver introduces many acts that are not played on the radio or on MTV.	1	QQ_s-t6-1070-c-1070_s-t6-1305-c-1305--0	4	simplicity
42	The fort held a well-known/obvious position and was located high above sea level with strategic views to the entrance (Sydney Heads) of Port Jackson.	The fort held a prominent position and was located high above sea level with strategic views to the entrance (Sydney Heads) of Port Jackson.	Pittsburg is a city located in Camp County, Texas.	Pittsburg is a city in Camp County, Texas.	2	QQ_s-t5-1076-c-1076_c-1728-s-t5-1728--1	3	simplicity
43	The following is a comparative table classifying the moons of the solar system by diameter.	The following is a comparative chart classifying the moons of the solar system by diameter.	The reflecting pool in Constitution Gardens is approximately 2,029 feet long and 167 feet wide.	Located in the Constitution Gardens, the reflecting pool is approximately 2,029 feet (618 m) long and 167 feet (51 m) wide.	2	QQ_c-1094-s-t4-1094_s-t4-825-c-825--1	3	simplicity
44	Chocolate was able to be used to Maya of all social classes, although the rich drank chocolate from fancy decorated vessels.	Chocolate was available to Maya of all social classes, although the wealthy drank chocolate from elaborately decorated vessels.	Saturday followes an especially eventful day in the life of a successful neurosurgeon.	His next work, Saturday, follows an especially eventful day in the life of a successful neurosurgeon.	1	QQ_s-t6-1095-c-1095_s-t6-3-c-3--0	3	simplicity
45	About 2,000 troops have been allocated to Zipingpu, trying to release the pressure through spillway.	About 2,000 troops have been sent to Zipingpu, to release the pressure through spillway.	Dry air wrapping around the southern periphery of the cyclone eroded most of the deep convection by early on September 12.	Dry air wrapping around the southernmost  part of the cyclone caused a reduction in the storm's upward mobility by early on September 12.	1	QQ_c-1127-s-t2-1127_c-148-s-t2-148--0	5	simplicity
46	The term country code very often refers to international dialing codes, the E.164 country calling codes.	The term country code frequently refers to international dialing codes, the E.164 country calling codes.	He performed often for white audiences in the 1900s.	He performed on a regular basis for white audiences in the 1900s.	1	QQ_s-t1-1155-c-1155_s-t1-1394-c-1394--0	3	simplicity
47	Legality Aid in dying is legal in several jurisdictions, including Belgium, the Netherlands, Switzerland and three American states.	Legality Aid in dying is lawful in many states, including Belgium, the Netherlands, Switzerland and three American states.	Assuming good faith does'nt disallow talking and judging, but instead editors should not characterize the actions being judged as hostile unless there is clear proof of hostility.	Assuming good faith does not prohibit discussion and criticism, but instead editors should not attribute the actions being criticized to malice unless there is specific evidence of malice.	2	QQ_c-1185-s-t2-1185_s-t2-808-c-808--1	3	simplicity
48	Hertzprung-Russel diagrams are not pictures or maps of the placement of the stars.	Hertzprung-Russell diagrams are not pictures or maps of the locations of the stars.	The encryption key is trivially related to the decryption key, in that they may be identical or there is a simple transform to go between the two keys.	The encryption key is trivially related to the decryption key; they may be the same or there is a simple transform to change from one key to the other.	2	QQ_s-t6-1197-c-1197_c-2234-s-t6-2234--1	3	simplicity
49	This structure is still used to create the teams in the playoffs in the American Hockey League.	This structure is still used for determining the teams in the playoffs in the American Hockey League.	The fourth ring is make pretty with of great value natural ornaments and was added in 1938 39 when the column was moved to its present maked off	The fourth ring is decorated with golden garlands and was added in 1938 39 when the column was moved to its present location.	1	QQ_s-t7-1210-c-1210_s-t7-250-c-250--0	3	simplicity
50	Linux sellers began to be around very soon after the Linux kernel was first used by people other than the first Linux programmers.	Linux distributions began to appear very soon after the Linux kernel was first used by individuals other than the original Linux programmers.	In the 1987 HBO television movie Conspiracy: The Trial of the Chicago 8, Hoffman was portrayed by Michael Lembeck.	In the 1987 HBO television movie Conspiracy: The Trial of the Chicago 8, Michael Lembeck portrayed Hoffman.	2	QQ_s-t7-1217-c-1217_c-1763-s-t7-1763--1	4	simplicity
51	Each band member chose an individual number as their alias towards the end of 1997.	Towards the end of 1997, each band member chose an individual number as their alias.	jameson autobiography, how to make love.	Jameson's autobiography, How to Make Love Like a Porn Star: A Cautionary Tale was published August 17, 2004.	1	QQ_s-t5-1222-c-1222_s-t5-362-c-362--0	4	simplicity
52	Cameron's wife wife playing Hattie Durham starred in the film series.	Cameron's wife Noble also starred in the film series, playing Hattie Durham.	Kevin Michael Costner (born January 18, 1955) is an American actor, musician, producer, and director.	Kevin Michael Costner is an American actor, musician, producer and director.	2	QQ_s-t7-1322-c-1322_c-1812-s-t7-1812--1	4	simplicity
53	History The state was created in 1951 out of the historical states of Baden, Hohenzollern and Württemberg, part of the region of Swabia.	History The state was made in 1951 out of the historical states of Baden, Hohenzollern and Württemberg, part of the area of Swabia.	Visitors come to see the gardens in the palace grounds, the exotic birds roaming in the grounds, Moot Hill and the plaace.	Visitors come to see the gardens in the palace grounds, the exotic birds which roam freely in the grounds, Moot Hill (which is in the grounds), and the palace.	2	QQ_c-1374-s-t2-1374_s-t2-1199-c-1199--1	4	simplicity
54	Millions of years ago, the North American Plate was always hitting the Farallon Plate.	From about 200 to 30 million years ago, the North American Plate was in continual collision with the Farallon Plate.	The station, and all trains serving it, are operated by National Express East Anglia.	The station, and all trains serving it, are run by National Express East Anglia.	2	QQ_s-t3-1385-c-1385_c-1460-s-t3-1460--1	4	simplicity
55	The Hanseatic city of Greifswald is enclosed by the district, but does not belong to it.	The Hanseatic city of Greifswald is surrounded by the district, but does not lies in the hands of it.	It is made up by the Royal Australian Navy, the Australian Army, the Royal Australian Air Force and a number of' tri-service' units.	It consists of the Royal Australian Navy, the Australian Army, the Royal Australian Air Force and a number of' tri-service' units.	2	QQ_c-1390-s-t1-1390_s-t1-1930-c-1930--1	3	simplicity
56	The separations were done by Prussia, Russia and Habsburg Austria, dividing up the commonwealth lands among themselves.	The partitions were carried out by Prussia, Russia and Habsburg Austria dividing up the Commonwealth lands among themselves.	"The word comes from ""pahar"" which means mountain."	The word is derived from' pahar' meaning mountain.	1	QQ_s-t2-1420-c-1420_s-t2-1781-c-1781--0	3	simplicity
57	After receiving suspended sentences several times for anti-government activities, Yun retired from politics in 1980 and focused primarily on cultural activities until his death from diabetic conditions and high blood pressure in 1990.	After receiving suspended sentences many times for anti-government activities, Yun retired from politics in 1980 and focused on cultural activities until his death from diabetic conditions and high blood pressure in 1990.	Beresford is a city in the counties of Lincoln and Union in South Dakota.	Beresford is a city in Lincoln and Union counties in the U.S. state of South Dakota.	2	QQ_c-1422-s-t6-1422_s-t6-751-c-751--1	4	simplicity
58	Manchester was the first city in the UK to get a modern light rail tram system when the Manchester Metrolink opened in 1992	Manchester became the first city in the UK to acquire a modern light rail tram system when the Manchester Metrolink opened in 1992.	Joe Byrne commenced school at the Catholic school at Woolshed in 1862.	Joe Byrne started school at the Catholic school at Woolshed in 1862.	2	QQ_s-t4-1433-c-1433_c-1893-s-t4-1893--1	5	simplicity
59	RollerCoaster Tycoon (or often abbreviated RCT) is a series of computer games that simulate amusement park management.	RollerCoaster Tycoon (or often written as RCT) is a group of computer games that recreate amusement park management.	About 2,000 troops have been sent to Zipingpu, trying to release the pressure through spillway.	About 2,000 troops have been allocated to Zipingpu, trying to release the pressure through spillway.	2	QQ_c-1443-s-t6-1443_s-t6-1127-c-1127--1	4	simplicity
60	This is the origin of the terms ante meridiem and post meridiem.	This is also the origin of the terms ante meridiem and post meridiem as noted below.	Preparations were pushed ahead for an armed revolt, and he was made commandant of the Third Battalion and adjutant of the Dublin Brigade.	Preparations were pushed ahead for an armed disgust, and he was made commandant of the third body of men ready to fight and helper of the Dublin army unit	2	QQ_s-t0-1455-c-1455_c-680-s-t0-680--1	3	simplicity
61	This marked the beginning of the line of contact between Soviet and American forces but not the final occupation zones.	This marked the beginning of the line of contact between Soviet and American forces, but not the finalized occupation zones.	Wollstonecraft wrote the Rights of Woman fast so she could express her thoughts about current events; she planned to write a more thoughtful second volume, but she died before completing it.	Wollstonecraft wrote the Rights of Woman hurriedly in order to respond directly to ongoing events; she intended to write a more thoughtful second volume, but she died before completing it.	1	QQ_s-t3-1524-c-1524_s-t3-1961-c-1961--0	4	simplicity
62	We can see a similar provision today at Chateau de Tarascon	A similar provision can be seen today at Château de Tarascon.	Stegosaurian teeth were small, triangular and flat wear facets show that they did grind their food.	Stegosaurs' teeth were small, shaped like triangles and flat wear facets show that they did crush their food.	2	QQ_s-t6-1554-c-1554_c-2123-s-t6-2123--1	3	simplicity
63	Due to the lack of major effects from Hurricane Cindy, the name was not retired by the World Meteorological Organization and will be on the list of names for the 2011 season.	Sense there was no major effects from Hurricane Cindy, the name will be used for the 2011 season.	"It is a strategy of problem-solving to depend on ""pleas"" rather than force."	"It is a strategy of problem-solving relying on ""appeals"" rather than coercion."	2	QQ_c-1612-s-t4-1612_s-t4-1306-c-1306--1	5	simplicity
64	Oliver Rolf Kahn (born 15 June 1969 in Karlsruhe) is a former German football goalkeeper.	Oliver Rolf Kahn (born 15 June 1969 in Karlsruhe) is a ex- German football goalkeeper.	The 1992 Winter Games was the last to be performed in the same year as the Summer Games.	The 1992 Winter Games were the last to be staged in the same year as the Summer Games.	2	QQ_c-1615-s-t2-1615_s-t2-1690-c-1690--1	4	simplicity
65	Other generalizations of the main conjecture proved using the Euler system method have been obtained by Karl Rubin, amongst others.	Other generalizations of the main situation proved using the Euler system method have been made by Karl Rubin, amongst others.	However, by the close of the 19th century, the 9th edition was outdated and the Britannica faced significant financial difficulties.	However, by the end of the 19th century, the 9th edition was outdated and the Britannica faced important financial difficulties.	1	QQ_c-1616-s-t0-1616_c-831-s-t0-831--0	3	simplicity
66	The first generator (No. 22) in the south side of the dam started working on June 11, 2007.	The first generator at the south side of the dam started on June 11, 2007.	He did extremely well in history through his school years while his grades in other subjects were typical.	He excelled in history throughout his school years while his grades in other subjects remained average.	2	QQ_c-1694-s-t5-1694_s-t5-1734-c-1734--1	3	simplicity
67	The Post Office was formed on May 24, 1897, and took its name from Koweta Mission.	The Post Office was established on May 24, 1897, and took its name from Koweta Mission.	He is credited with introducing skenographia or scene-decoration.	He is sometimes credited with introducing skenographia, or scene-decorationAccording to Vitruvius.	1	QQ_s-t6-1695-c-1695_s-t6-738-c-738--0	3	simplicity
68	"The concerned parties may call themselves as ""libertarian,"" but their ideologies appear to be in great contrast and not necessarily that these are in line with the elements of the libertarian agenda."	"Although these parties may describe themselves as ""libertarian ,"" their ideologies differ considerably and not all of them espouse all elements of the libertarian agenda."	There are exceptions to this rule, such as defense rather than defence.	However, there are exceptions to this rule, such as defense rather than defence.	1	QQ_s-t0-1702-c-1702_s-t0-862-c-862--0	4	simplicity
69	Biochemistry is the study of the chemical processes in living organisms.	Biochemistry is the study of chemical processes in organisms.	The Wakker Prize (in German: Wakkerpreis, in French Prix Wakker, in Italian Premio Wakker) is awarded once a year by the Swiss Heritage Society to a Municipality of Switzerland for the growth and protection of its architectural heritage.	The Wakker Prize (in German: Wakkerpreis, in French Prix Wakker, in Italian Premio Wakker) is awarded annually by the Swiss Heritage Society to a Municipality of Switzerland for the development and preservation of its architectural heritage.	2	QQ_c-1721-s-t5-1721_s-t5-1914-c-1914--1	4	simplicity
